"","CFR.y","X..65.and.older.raw.value","Uninsured.adults.raw.value","Median.household.income.raw.value","HIV.prevalence.raw.value","Unemployment.raw.value","Adult.obesity.raw.value","Excessive.drinking.raw.value","Severe.housing.problems.raw.value","X..below.18.years.of.age.raw.value","StrokeMortality","RespMortalityRate2014","HeartDiseaseMortality","DiabetesPercentage","SVIPercentile","Adult.smoking.raw.value","X..Non.Hispanic.African.American.raw.value","X..American.Indian.and.Alaskan.Native.raw.value","X..Asian.raw.value","X..Native.Hawaiian.Other.Pacific.Islander.raw.value","X..Hispanic.raw.value","X..Non.Hispanic.white.raw.value"
"1",0.817250886,0.133774327,0.144421297,45294,427.1,0.042610115,0.258,0.205617692,0.228168721,0.181414519,38.5,52.85,128.8,9.2,0.4729,0.148948162,0.200173817,0.003449768,0.060236209,0.000717278,0.093967271,0.619671646
"2",2.010827533,0.134660128,0.144912918,51904,436.4,0.048889669,0.344,0.180730424,0.167664671,0.246733722,41.2,97.07,171.5,14.6,0.6803,0.194036854,0.137022587,0.004187994,0.006657837,0.000286359,0.024770018,0.812721481
"3",1.807617818,0.167523672,0.164437401,48843,284.4,0.048922678,0.301,0.195413371,0.177696988,0.215144531,32.9,79.48,187.8,10,0.6076,0.18038832,0.108852338,0.008365313,0.022878233,0.001592616,0.063079566,0.769641362
"4",1.271503366,0.183911461,0.159194139,43058,303.8,0.042580409,0.356,0.168586067,0.175637394,0.199324073,36.7,76.84,162.5,10.9,0.9264,0.215474523,0.189482285,0.004790908,0.006276461,0.000557082,0.039552849,0.742813637
"5",1.661493518,0.232448673,0.159480166,51214,293.3,0.051804019,0.269,0.183213419,0.167366188,0.185053442,38,57.16,165.8,10.1,0.3713,0.171240023,0.099552777,0.004629358,0.02448673,0.001296773,0.098589263,0.752344033
"6",0.694769612,0.160757151,0.197995629,54055,1180.3,0.046051131,0.246,0.189275103,0.260395758,0.213219615,54.7,39.77,146.9,8.1,0.5844,0.141950581,0.280098993,0.003848909,0.038021985,0.001119587,0.28712862,0.377403605
"7",2.469135802,0.178672953,0.199113205,36708,275.7,0.056698951,0.389,0.156764959,0.16298633,0.206475768,36,87.93,189.5,14.9,0.8401,0.199809165,0.127227345,0.012757401,0.00804271,0.001386674,0.057754975,0.774596131
"8",2.101789126,0.388412294,0.191057352,44935,199.5,0.05331733,0.261,0.168552511,0.173643411,0.12572213,26.4,46.68,127.4,8.1,0.4889,0.164498427,0.055501079,0.003418037,0.014030762,0.000610764,0.06894349,0.844776287
"9",4.011976048,0.35959226,0.173466435,40009,162.2,0.067805838,0.271,0.164258751,0.145953519,0.147123332,56.3,74.78,200.9,10.5,0.6022,0.184434352,0.028011224,0.004031444,0.016070073,0.000362064,0.054177314,0.884675639
"10",1.245924546,0.151187407,0.143229021,57476,176.2,0.045213586,0.291,0.216252189,0.149011248,0.237164624,37,72.47,151.8,10,0.3803,0.178255427,0.104536006,0.005280566,0.030977721,0.001564968,0.096288722,0.738357552
"11",1.163895487,0.309649008,0.268709609,62397,283.9,0.047616209,0.203,0.150373037,0.2093327,0.175994698,26.8,30.13,94.2,6.1,0.4618,0.111124213,0.0671558,0.004896806,0.01449323,0.000969502,0.269841922,0.638455261
