"","county.x","cases","deaths","CFR","death_100k","cases_100k","fips","state.x","cases.x","deaths.x","Poor.or.fair.health.raw.value","Adult.smoking.raw.value","Adult.obesity.raw.value","Physical.inactivity.raw.value","Excessive.drinking.raw.value","Sexually.transmitted.infections.raw.value","Uninsured.raw.value","Diabetes.monitoring.raw.value","High.school.graduation.raw.value","Some.college.raw.value","Unemployment.raw.value","Children.in.poverty.raw.value","Income.inequality.raw.value","Air.pollution...particulate.matter.raw.value","Severe.housing.problems.raw.value","HIV.prevalence.raw.value","Food.insecurity.raw.value","Limited.access.to.healthy.foods.raw.value","Uninsured.adults.raw.value","Median.household.income.raw.value","Population.raw.value","X..below.18.years.of.age.raw.value","X..65.and.older.raw.value","X..Non.Hispanic.African.American.raw.value","X..American.Indian.and.Alaskan.Native.raw.value","X..Asian.raw.value","X..Native.Hawaiian.Other.Pacific.Islander.raw.value","X..Hispanic.raw.value","X..Non.Hispanic.white.raw.value","Poverty.raw.value","Communicable.disease.raw.value","Drug.overdose.deaths.raw.value","Violent.crime.raw.value","Frequent.mental.distress.raw.value","lon","lat","POP_LONGITUDE","POP_LATITUDE","PopulationEstimate2018","PopulationDensityperSqMile2010","HeartDiseaseMortality","StrokeMortality","RespMortalityRate2014","Smokers_Percentage","DiabetesPercentage","SVIPercentile","CFR.x","death_100k.x","cases_100k.x","cases.y","deaths.y","CFR.y","death_100k.y","cases_100k.y"
"1","Albany",1860,142,7.63440860215054,46.2364506035159,605.632381144645,"36001","New York",1238,20,0.134795327,0.151485541,0.26,0.229,0.200280051,549,0.054516989,0.868249535,0.81398356,0.759846469,0.040440111,0.156,4.910872494,8.6,0.161535646,375.1,0.13,0.047797348,0.064859056,61634,308846,0.186973443,0.159626481,0.125962454,0.002917312,0.065385338,0.000679951,0.058330042,0.726229253,NA,NA,11.44216633,332.1843705,0.109832574,-73.97451843,42.60391914,-73.81304,42.678976,307117,581.9,172.9,28.4,47.66,14.531854664,8.4,0.3041,1.61550888529887,6.51217614134027,403.103703148963,12387,125,1.00912246710261,40.7011008833767,4033.3162931391
"2","Allegany",45,0,0,0,96.9200947663149,"36003","New York",66,4,0.149084149,0.209130466,0.288,0.245,0.212720854,196.9,0.061551146,0.856187291,0.862365108,0.58952912,0.062475228,0.258,4.195053829,8.5,0.142624287,91,0.126,0.029916993,0.074188261,45226,47077,0.203730059,0.177411475,0.012638868,0.003143786,0.01348854,0.000361111,0.01644115,0.942455976,NA,NA,NA,173.1726676,0.128204008,-78.03352291,42.25604318,-78.019297,42.228245,46430,47.6,178.9,32.9,66.01,16.559035378,9.2,0.5818,6.06060606060606,8.61511953478355,142.149472323929,2167,71,3.27641901245962,152.918371742408,4667.24100796899
"3","Broome",566,51,9.01060070671378,26.6097600425756,295.316160472506,"36007","New York",1099,34,0.172002368,0.199102178,0.267,0.259,0.214385137,326.8,0.064166547,0.867990074,0.832886784,0.661869823,0.05408742,0.244,4.849607357,8.6,0.158799094,236,0.138,0.032406716,0.075545753,49927,195334,0.195695578,0.182917464,0.051675592,0.002554599,0.045296774,0.000650168,0.040955492,0.836474961,NA,NA,25.79550276,285.8305395,0.122031046,-75.81766281,42.16336714,-75.934245,42.121306,191659,284.2,176,31.2,50.55,15.514051434,9,0.6166,3.09372156505914,17.7398400283837,573.414240917463,8891,163,1.8333145877854,85.046880136075,4638.96816742235
"4","Cattaraugus",88,3,3.40909090909091,3.90421655387819,114.523685580427,"36009","New York",187,5,0.18529141,0.233915238,0.28,0.288,0.211192422,356.2,0.075096411,0.849206349,0.840866029,0.551148226,0.059093894,0.205,4.286585986,9,0.146698113,123.6,0.133,0.025839365,0.09012193,46224,77677,0.226527801,0.178688672,0.013710622,0.034064137,0.007994645,0.00027035,0.020353515,0.907990782,NA,NA,18.36045414,180.9130442,0.135829216,-78.67715953,42.2496734,-78.607656,42.224267,76840,61.4,240.5,36.2,65.61,16.754360363,10.9,0.7283,2.67379679144385,6.50702758979698,243.362831858407,2974,52,1.74848688634835,67.6730869338886,3870.38001041124
"5","Cayuga",91,1,1.0989010989011,1.29626028906604,117.95968630501,"36011","New York",128,1,0.136513594,0.203613991,0.309,0.279,0.230619168,307,0.066913528,0.883403361,0.813143204,0.602732387,0.050349536,0.187,4.212652731,9,0.120692445,277.8,0.115,0.016861755,0.079628821,53437,77861,0.201705604,0.176969214,0.039698951,0.004803432,0.006562978,0.00060364,0.029038928,0.902595651,NA,NA,18.30005277,193.9799331,0.113580266,-76.55464868,42.91937733,-76.560044,42.93537,77145,115.7,169.9,32.6,56.42,15.717610642,10.5,0.5025,0.78125,1.29626028906604,165.921317000454,3976,66,1.65995975855131,85.5531790783589,5153.93090932659
"6","Chautauqua",84,3,3.57142857142857,2.34486747590649,65.6562893253816,"36013","New York",505,1,0.1808941,0.236875415,0.326,0.254,0.195931983,377.9,0.065925593,0.858102435,0.832430723,0.577268983,0.057725048,0.289,4.687650249,9,0.159797142,217.3,0.127,0.06750473,0.079215346,42664,129504,0.206155794,0.188550161,0.021358414,0.007165802,0.006671609,0.000517359,0.074530516,0.875779899,NA,NA,20.13580197,231.7855211,0.129563074,-79.36496073,42.23210063,-79.314671,42.246256,127939,127.2,206.8,37.7,65.93,17.108594687,10.1,0.7248,0.198019801980198,0.781622491968829,394.719358444259,4619,47,1.01753626326045,36.736257122535,3610.31429040402
"7","Chemung",137,5,3.64963503649635,5.93443634723574,162.603555914259,"36015","New York",373,0,0.160938771,0.206333395,0.333,0.284,0.184946038,438.6,0.050794489,0.854494903,0.727809685,0.609001003,0.056630746,0.227,4.808570005,8.6,0.140293868,272.9,0.132,0.057984371,0.061634433,50722,86322,0.216306388,0.178065847,0.060668196,0.003394268,0.015523273,0.000393874,0.030351475,0.864159774,NA,NA,17.61352106,201.5773994,0.124557775,-76.76316619,42.14159273,-76.813046,42.118262,84254,218.1,203.4,31.7,73.86,16.802148251,10.1,0.485,0,0,442.708951503786,4862,102,2.0979020979021,121.062501483609,5770.64590405203
"8","Chenango",133,2,1.50375939849624,4.20733759676876,279.787950185123,"36017","New York",120,4,0.162119043,0.18873451,0.312,0.291,0.194998715,254.9,0.064831397,0.862459547,0.838967136,0.552806672,0.050401466,0.218,4.456971951,8.1,0.143404908,136.3,0.118,0.016152909,0.076848719,45193,48579,0.20980259,0.197719179,0.008275181,0.003993495,0.005516787,0.000144095,0.021470183,0.948640359,NA,NA,13.61943221,124.7740578,0.121204979,-75.60951593,42.49580328,-75.570326,42.481195,47536,56.5,256.3,31.1,60.16,16.253968006,10.9,0.5646,3.33333333333333,8.41467519353753,252.440255806126,1401,32,2.28408279800143,67.3174015483002,2947.23998653652
"9","Clinton",95,4,4.21052631578947,4.95693661317306,117.72724456286,"36019","New York",66,1,0.153430392,0.206870161,0.301,0.258,0.225069805,411.6,0.068383887,0.888575458,0.850666311,0.564626197,0.053487592,0.184,4.719218337,8.3,0.144018765,316.6,0.131,0.099285943,0.080990041,53392,81073,0.179467887,0.161533433,0.039914645,0.004119744,0.015196181,0.000382371,0.028603851,0.899325299,NA,NA,13.11711948,129.4181933,0.123331509,-73.68638371,44.74823216,-73.545325,44.730039,80695,79.1,167.2,28.9,64.4,16.753447369,10.3,0.5312,1.51515151515152,1.23923415329326,81.7894541173555,1815,8,0.440771349862259,9.91387322634612,2249.20998822728
"10","Columbia",387,38,9.81912144702842,63.4221243073636,645.904265972361,"36021","New York",206,9,0.115852845,0.178132792,0.244,0.223,0.199991689,246.3,0.071895701,0.890066225,0.827959502,0.60892789,0.036745823,0.185,4.281531882,8,0.148435943,365,0.103,0.050543034,0.082784263,57579,60989,0.178179672,0.222941842,0.046073882,0.003262884,0.018659103,0.00059027,0.045713161,0.868484481,NA,NA,16.79124689,142.3289599,0.109241913,-73.63709391,42.25262343,-73.681049,42.273336,59916,99.4,181.6,28.5,60.48,14.578003596,5.8,0.3854,4.36893203883495,15.0210294412177,343.814673876761,1704,19,1.1150234741784,31.7110621536818,2843.98157420389
"11","Cortland",41,0,0,0,85.7328063902306,"36023","New York",143,1,0.160519813,0.184871621,0.282,0.287,0.211539677,397.8,0.052064537,0.909090909,0.829113924,0.616838167,0.056682448,0.211,4.29773858,8.4,0.155444722,155.4,0.127,0.03416783,0.061062509,51810,48070,0.193239026,0.158456418,0.015706262,0.003494903,0.009985438,0.000228833,0.026939879,0.928416892,NA,NA,15.79800533,115.8947071,0.121646299,-76.06449098,42.59475289,-76.145474,42.59613,47823,98.9,165.1,31.7,71.07,15.302328439,10.7,0.3452,0.699300699300699,2.09104405829831,299.019300336658,2368,51,2.15371621621622,106.643246973214,4951.59233005039
