"","CFR","X..65.and.older.raw.value","Uninsured.adults.raw.value","Median.household.income.raw.value","HIV.prevalence.raw.value","Unemployment.raw.value","Adult.obesity.raw.value","Excessive.drinking.raw.value","Severe.housing.problems.raw.value","X..below.18.years.of.age.raw.value","StrokeMortality","RespMortalityRate2014","HeartDiseaseMortality","DiabetesPercentage","SVIPercentile","Adult.smoking.raw.value","X..Non.Hispanic.African.American.raw.value","X..American.Indian.and.Alaskan.Native.raw.value","X..Asian.raw.value","X..Native.Hawaiian.Other.Pacific.Islander.raw.value","X..Hispanic.raw.value","X..Non.Hispanic.white.raw.value"
"1",7.634408602,0.159626481,0.064859056,61634,375.1,0.040440111,0.26,0.200280051,0.161535646,0.186973443,28.4,47.66,172.9,8.4,0.3041,0.151485541,0.125962454,0.002917312,0.065385338,0.000679951,0.058330042,0.726229253
"2",9.010600707,0.182917464,0.075545753,49927,236,0.05408742,0.267,0.214385137,0.158799094,0.195695578,31.2,50.55,176,9,0.6166,0.199102178,0.051675592,0.002554599,0.045296774,0.000650168,0.040955492,0.836474961
"3",3.409090909,0.178688672,0.09012193,46224,123.6,0.059093894,0.28,0.211192422,0.146698113,0.226527801,36.2,65.61,240.5,10.9,0.7283,0.233915238,0.013710622,0.034064137,0.007994645,0.00027035,0.020353515,0.907990782
"4",3.571428571,0.188550161,0.079215346,42664,217.3,0.057725048,0.326,0.195931983,0.159797142,0.206155794,37.7,65.93,206.8,10.1,0.7248,0.236875415,0.021358414,0.007165802,0.006671609,0.000517359,0.074530516,0.875779899
"5",3.649635036,0.178065847,0.061634433,50722,272.9,0.056630746,0.333,0.184946038,0.140293868,0.216306388,31.7,73.86,203.4,10.1,0.485,0.206333395,0.060668196,0.003394268,0.015523273,0.000393874,0.030351475,0.864159774
"6",1.503759398,0.197719179,0.076848719,45193,136.3,0.050401466,0.312,0.194998715,0.143404908,0.20980259,31.1,60.16,256.3,10.9,0.5646,0.18873451,0.008275181,0.003993495,0.005516787,0.000144095,0.021470183,0.948640359
"7",4.210526316,0.161533433,0.080990041,53392,316.6,0.053487592,0.301,0.225069805,0.144018765,0.179467887,28.9,64.4,167.2,10.3,0.5312,0.206870161,0.039914645,0.004119744,0.015196181,0.000382371,0.028603851,0.899325299
"8",9.819121447,0.222941842,0.082784263,57579,365,0.036745823,0.244,0.199991689,0.148435943,0.178179672,28.5,60.48,181.6,5.8,0.3854,0.178132792,0.046073882,0.003262884,0.018659103,0.00059027,0.045713161,0.868484481
"9",3.837298542,0.164391982,0.074237444,73680,380.1,0.041665499,0.244,0.182215338,0.207156221,0.193929494,26.3,46.9,178.6,7.7,0.4207,0.154917023,0.101805599,0.004744068,0.03925657,0.000753889,0.119878563,0.718632948
"10",8.583196046,0.170838373,0.065452593,54175,275.6,0.048822103,0.292,0.215957096,0.151197664,0.205000619,36.6,48.21,180.9,9.6,0.414,0.177520262,0.130706827,0.007265652,0.036097003,0.000482061,0.053209069,0.757869857
