"","CFR.y","X..65.and.older.raw.value","Uninsured.adults.raw.value","Median.household.income.raw.value","HIV.prevalence.raw.value","Unemployment.raw.value","Adult.obesity.raw.value","Excessive.drinking.raw.value","Severe.housing.problems.raw.value","X..below.18.years.of.age.raw.value","StrokeMortality","RespMortalityRate2014","HeartDiseaseMortality","DiabetesPercentage","SVIPercentile","Adult.smoking.raw.value","X..Non.Hispanic.African.American.raw.value","X..American.Indian.and.Alaskan.Native.raw.value","X..Asian.raw.value","X..Native.Hawaiian.Other.Pacific.Islander.raw.value","X..Hispanic.raw.value","X..Non.Hispanic.white.raw.value"
"1",1.009122467,0.159626481,0.064859056,61634,375.1,0.040440111,0.26,0.200280051,0.161535646,0.186973443,28.4,47.66,172.9,8.4,0.3041,0.151485541,0.125962454,0.002917312,0.065385338,0.000679951,0.058330042,0.726229253
"2",3.276419012,0.177411475,0.074188261,45226,91,0.062475228,0.288,0.212720854,0.142624287,0.203730059,32.9,66.01,178.9,9.2,0.5818,0.209130466,0.012638868,0.003143786,0.01348854,0.000361111,0.01644115,0.942455976
"3",1.833314588,0.182917464,0.075545753,49927,236,0.05408742,0.267,0.214385137,0.158799094,0.195695578,31.2,50.55,176,9,0.6166,0.199102178,0.051675592,0.002554599,0.045296774,0.000650168,0.040955492,0.836474961
"4",1.748486886,0.178688672,0.09012193,46224,123.6,0.059093894,0.28,0.211192422,0.146698113,0.226527801,36.2,65.61,240.5,10.9,0.7283,0.233915238,0.013710622,0.034064137,0.007994645,0.00027035,0.020353515,0.907990782
"5",1.659959759,0.176969214,0.079628821,53437,277.8,0.050349536,0.309,0.230619168,0.120692445,0.201705604,32.6,56.42,169.9,10.5,0.5025,0.203613991,0.039698951,0.004803432,0.006562978,0.00060364,0.029038928,0.902595651
"6",1.017536263,0.188550161,0.079215346,42664,217.3,0.057725048,0.326,0.195931983,0.159797142,0.206155794,37.7,65.93,206.8,10.1,0.7248,0.236875415,0.021358414,0.007165802,0.006671609,0.000517359,0.074530516,0.875779899
"7",2.097902098,0.178065847,0.061634433,50722,272.9,0.056630746,0.333,0.184946038,0.140293868,0.216306388,31.7,73.86,203.4,10.1,0.485,0.206333395,0.060668196,0.003394268,0.015523273,0.000393874,0.030351475,0.864159774
"8",2.284082798,0.197719179,0.076848719,45193,136.3,0.050401466,0.312,0.194998715,0.143404908,0.20980259,31.1,60.16,256.3,10.9,0.5646,0.18873451,0.008275181,0.003993495,0.005516787,0.000144095,0.021470183,0.948640359
"9",0.44077135,0.161533433,0.080990041,53392,316.6,0.053487592,0.301,0.225069805,0.144018765,0.179467887,28.9,64.4,167.2,10.3,0.5312,0.206870161,0.039914645,0.004119744,0.015196181,0.000382371,0.028603851,0.899325299
"10",1.115023474,0.222941842,0.082784263,57579,365,0.036745823,0.244,0.199991689,0.148435943,0.178179672,28.5,60.48,181.6,5.8,0.3854,0.178132792,0.046073882,0.003262884,0.018659103,0.00059027,0.045713161,0.868484481
